meal,label
Asiatiska nudlar med kyckling.,FOOD
Görnsaksbiffar serveras med kall sås samt kokt potatis.,FOOD
Ugnstekt falukorv serveras med potatismos,FOOD
Köttfärssås och pasta,FOOD
Grönsaker MAGTARMKOST,SIDE
Böngryta med purjolök och bulgur,FOOD
"E: Kycklinggryta med tomat, persilja och citron*, ris, grönsaker",FOOD
Fruktmaräng,FOOD
Fiskgratäng med eko potatis,FOOD
Kockens val,ANY
Högsbosoppa,FOOD
"Skink och grönsaksgratäng, (sallad)",FOOD
Påsklov,NO
Fiskpanett med kall sås och kokt potatis,FOOD
Köttbullar med brunsås & potatismos,FOOD
"Ärt och rödbetsbiff, potatis & sås",FOOD
Knäckig äppelpaj med vaniljsås,FOOD
"Smörgås, mjölk och grönsak",FOOD
quorn tikka masala,FOOD
Spenatlasagnette med keso,FOOD
"Chilisoppa, mjukt bröd, pålägg",FOOD
Kyckling i currysås serveras med kokt potatis,FOOD
Saffransdoftande fisksoppa och hembakt bröd,FOOD
"Vegetarisk ärtsoppa, hembakat bröd",FOOD
Ugnpannkaka med sylt,FOOD
Frukost Förskola,GENERIC
Kryddig korvgryta serveras med pasta,FOOD
"Grönsaksgratäng med linser serveras med potatis, örtsås och grönsaksbuffé",FOOD
"biff stroganoff, ris",FOOD
Fiskgratäng med curryremoulad och kokt potatis.,FOOD
Pannbiff med gräddsås och kokt potatis,FOOD
Kökets val/Kyl- och frysrensning,ANY
Broccoligratäng,FOOD
"Vegetarisk ärtsoppa, bröd, pålägg",FOOD
Studiedag grundskola,NO
Dagliga tillbehör,SIDE
Vegetarisk gulaschsoppa med bröd,FOOD
Rotfruktspytt med örter,FOOD
"Köttbullar på svensk köttråvara serveras med sås, kokt potatis, lingonsylt och grönsaksbuffé",FOOD
Frukost,GENERIC
blåbärssoppa med syrlig vaniljgrädde,FOOD
Morotsbiffar serveras med kall vitlökssås och bulgur (veg),FOOD
Kebabgryta med ris o kall vitlökssås,FOOD
Spenatsoppa med ägghalva serveras med hembakad bröd och ost,FOOD
*Fisk bordelaise och hemlagat potatismos,FOOD
"Quornburgare Southern style serveras med bröd, dressing och ugnstekt potatis",FOOD
Smaklig måltid!,MESSAGE
Spagetti med tomatsås och linser,FOOD
Köttfärslimpa med gräddsås och potatis,FOOD
Sprödbakad västerhavsfisk serveras med kokt potatis och remouladsås,FOOD
Linssoppa,FOOD
"Minifrasbakad torsk, potatis & remouladsås",FOOD
Ugnspannkaka med sylt,FOOD
Vad köket erbjuder,ANY
"Fisk i ugn med tomat och dill, potatis",FOOD
Raggmunk serveras med tärnat fläsk och rårörda lingon,FOOD
Krämig laxsås serveras med pasta,FOOD
Ost- och kycklingsås med pasta,FOOD
Vegetarisk gulaschgryta och klimatsmart ris,FOOD
"Middag: Fläskpannkaka, råkost",FOOD
Gyllengul grönsaksbiffar,FOOD
Vegetarisk bolognese serveras med spaghetti,FOOD
"Ä-kost: Liten silltallrik med kokt potatis, ägghalva, gubbröra och grönsaker",FOOD
Pizza med quorn VEGETARISK,FOOD
Thaigryta med kyckling och basmatiris,FOOD
Tacogratäng med ris,FOOD
"Serveras med mjukt bröd, ost och grönsaksröra",NO
Kökets val,ANY
Morotsbiffar med vitlöksyoghurt och kokt potatis,FOOD
pasta med skinksås / broccolisås,FOOD
"Färsbullstimbal med potatismos, brunsås och grönsaker TIMBALKOST",FOOD
"Vårrulle med grönsaksfyllning, ris, sweetchilisås",FOOD
"Grönsaksbiff med Karl-Alfred-sås, serveras med potatis",FOOD
Korv Stroganoff med ris,FOOD
"Krämig ost och broccolisoppa, smörgås och banan",FOOD
"Korma kyckling, pasta/gryn",FOOD
KOCKENS ERBJUDANDE. Med reservation för ev. ändringar i menyn.,ANY
Kökets vegetariska alternativ,GENERIC
Wolof Meal - Potatisbullar och blodkorv,FOOD
Vegobullar med potatismos och lingonsylt,FOOD
Asiatisk soppa med kyckling,FOOD
Kebabpytt serveras med kebabsås,FOOD
Korv & Köttbullar serveras med Potatisgratäng,FOOD
"Southern burgare med remouladsås, bröd och klyftpotatis",FOOD
"Gulaschsoppa, Mjukt bröd med ost, Grönsaksbuffé, hårt bröd och mjölk,",FOOD
Ananasbakelse med vispgrädde,FOOD
"Grekiska köttfärsbiffar, pasta tricolore, tzatziki, grönsaker",FOOD
Pytt i panna med rotfrukter och linser,FOOD
Rabarberpaj med vaniljsås,FOOD
Oumphbullar serveras med brunsås och potatis,FOOD
Köket väljer,ANY
Tikka massala med sojastrimlor Couscous,FOOD
"Varmkorv serveras med hemlagat potatismos, gurkmajonnäs, senap och ketchup",FOOD
"Grön ärtsoppa, hembakat bröd",FOOD
Portergryta och kokt potatis,FOOD
"Gulaschsoppa, Aprikossoppa, Jordgubbssoppa",FOOD
"Grönsaksburgare med potatismos, gräddsås och grönsaker VEGETARISK",FOOD
Vegetariskt Tikka Masala,FOOD
Paprikakorv med bostonsås potatis,FOOD
Frukost,GENERIC
Blodpudding och potatisbullar med lingonsylt,FOOD
Grönsaksgratäng serveras med potatismos och grönsaksbuffé,FOOD
stängt,NO
Ricotta & spenatfylld cannelloni,FOOD
"Mellanmål: Smörgås, pålägg, mjölk och frukt",FOOD
"Egengjord broccolibiff, potatis och dilldipp",FOOD
"Varmkorv, potatismos, gurkdressing",FOOD
Höstgryta på bogfläsk & kokt potatis toppad med gräddfil,FOOD
Köttbullar,FOOD
"Grönsakssoppa med potatis serveras med limpa, färskost och frukt",FOOD
Rotfruktsgratäng med fetaost och spenat,FOOD
Vegetarisk bullar med potatismos,FOOD
"Kyckling Korma serveras med ris, naan och yoghurt",FOOD
"Mellanmål: Smörgås, pålägg, mjölk och frukt",FOOD
Vegetarisk schnitzel med mango/currysås och ugnsrostad potatis,FOOD
Pasta-& broccoligratäng,FOOD
"Lunch 2: Kycklinggryta med fransk senap och grönpeppar, pasta",FOOD
Stekt korv med stuvade makaroner,FOOD
Chili con carne och ris,FOOD
"Vegetarisk Lasagne med rotfrukter , linser och keso",FOOD
Köttfärssås serveras med spaghetti,FOOD
Tacopaj,FOOD
Grön ärtsoppa med mjuk smörgås och pålägg,FOOD
"Färssoppa toppad med crème fraiche, smörgås och banan",FOOD
Potatisbullar med lingonsylt & ajvarröra,FOOD
"Alternativ 1 Curry och cocosgryta, ris",FOOD
Tacorulle med havreris och sweetchilidressing,FOOD
Krämig blomkål- och broccoligratäng med kokt potatis,FOOD
"Mannagrynspudding, saftsoppa",FOOD
Vegetarisk gratäng med ris,FOOD
Fisk Benedictine potatis,FOOD
Lasagnetter med keso och morötter,FOOD
Kycklinggryta med ris/bulgur,FOOD
Biffar serveras med klyftpotatis och gräddsås,FOOD
Kycklinggryta med ris.,FOOD
Chicken Tikka Masala med ris,FOOD
Lasagnette med tomat och keso,FOOD
"Ostsås med rotfruktstrimlor och parmesan, serveras med ekologisk pasta penne",FOOD
Husets vegetariska lasagne med ingefärskräm,FOOD
Tropisk fruktpuré med gräddmjölk,FOOD
Kökets val,ANY
"Veg. biff/ limpa/låda, sås och potatis",FOOD
Sportlov,NO
Mozzarellabiffar med tomat och basilikasås samt rostade primörer,FOOD
A la cuisine vegetarisk,FOOD
"Dagens lunch: Panerad fisk, potatis och gräddfilssås",FOOD
Cowboysoppa serveras med mjuk smörgås och spreads,FOOD
Rispytt med rökt höns och kall currysås,FOOD
Rotfruktsgulasch serveras med potatis och gryn,FOOD
"Vego Fajitas med bbq-sås och vitlökssås, libabröd, rostad klyftpotatis",FOOD
"Vegetarisk färslimpa, gräddsås, potatis, lingonsylt",FOOD
Smörgås med ägg och kaviar,FOOD
"Fisk med frasigt citrontäcke, dillmajonnäs och kokt potatis",FOOD
Morotsbiffar serveras med kall sås och Bulgur,FOOD
Panerad fisk serveras med spenat och kokt potatis,FOOD
"Kycklingsoppa, Blåbärssoppa, Nyponsoppa",FOOD
Böngryta med vita bönor och bulgur.,FOOD
"Grönsaksnuggets serveras med stuvad spenat, potatis.",FOOD
Ugnskokt fisk med potatis och hollandaisesås,FOOD
Kökets val,ANY
"Panerad fisk, potatis, citronsås",FOOD
Vegetariska alternativ,GENERIC
Svampfrestelse med kokt ägghalva,FOOD
"Sojakorv i kryddig sås, serveras med ris",FOOD
Sportlov,NO
Fiskpanett med örtmajonnäs och kokt potatis,FOOD
"Utfärdspaket veg Grillkorv med bröd, dryck och frukt",FOOD
Fromage,FOOD
• Korv serverat med potatismos och klassiska tillbehör,FOOD
Grönsakspytt med kall sås och rödbetor,FOOD
LUNCH: Korvgryta serveras med pasta,FOOD
Sås: Örtsås kall,SIDE
fläskkött 1: Korvgryta med rostad paprikagräddsås och potatispuré,FOOD
Kikärtsgryta med kokosmjölk och bulgur,FOOD
Välkomna till ett nytt läsår!,MESSAGE
"Fiskburgare med bröd, dressing och klyftpotatis",FOOD
"Stekt falukorv, stuvade makaroner/makaroner",FOOD
"Vegobiff, potatisgratäng",FOOD
"Korv i ugn, potatis",FOOD
Rotfruktslasagne,FOOD
Morots lasange,FOOD
Köttbullar serveras med makaroner,FOOD
"Stekt korv med kokt potatis, brunsås och grönsaker VEGETARISK",FOOD
"Kalvjärpstimbal med gräddsås, grön ärttimbal och potatismos Pannkaksplättar med slät pannkakssylt",FOOD
Sojabullar med makaroner.,FOOD
Fläskfritt alternativ,GENERIC
"Grönkålsbiffar, kall currysås, bulgur",FOOD
Inga måltider serveras,NO
Krämig ost- och broccolisås med linser,FOOD
Kycklinggryta med senap och dragon,FOOD
"Örtkryddad sojasås, pasta & morotsmix klyftad",FOOD
"Nasi Goreng med kyckling, Chicagodressing",FOOD
Potatis och purjolökssoppa med färskost och bröd,FOOD
"Gröt: Risgrynsgröt, jordgubbssås",FOOD
Anpassad kost,GENERIC
Morotslasagnette,FOOD
"Falafel med kokt potatis, brunsås och grönsaker VEGETARISK",FOOD
Italiensk tomatsås,FOOD
- Två olika sorters prinskorv,FOOD
Potatislåda med quorn och chili och grönsaker VEGETARISK,FOOD
Blodpudding med stekt fläsk MAGTARMKOST,FOOD
"Skink- och broccolisås, pasta, varm grönsak",FOOD
Pastagratäng med röda linser och grönsaker,FOOD
Kockens gröna tips,ANY
"Potatisbullar med bacon och purjolökfräs, lingonsylt",FOOD
Gotländsk saffranskaka med sylt och vispad grädde,FOOD
Vegetarisk lasagne,FOOD
Mellanmål:,NO
Kålsoppa,FOOD
Biffar med sås potatis och lingonsylt,FOOD
Makaronipudding med keso,FOOD
Laxpudding med dillsås och morot,FOOD
"VegSchnitzel, potatismos, remouladsås",FOOD
Vegetarisksås serveras med pasta.,FOOD
"Hamburgare med bröd, dressing & klyftpotatis",FOOD
Kyckling och risgratäng,FOOD
Fisksoppa serveras med bröd och pålägg,FOOD
Panerad fisk med kall sås och kokt potatis,FOOD
Dessert: Äpplepaj och vaniljsås,FOOD
"Falafel, klyftpotatis & vitlökssås",FOOD
"Vildsvinslasagne, grönsaker",FOOD
Ugnsomelett,FOOD
Svampsoppa,FOOD
"Portergryta m. quorn, potatis, grönsaker, mazarin",FOOD
"Zucchini och salladsostsås, spaghetti",FOOD
Ugnstekt falukorv serveras med potatismos,FOOD
"Bondomelett (grönsaker, råkost, lingonsylt)",FOOD
Laxpudding med skirat smör,FOOD
"Asiatisk kycklinggryta, ris",FOOD
Grönsaksbiff med vitlökssås och potatis,FOOD
Blodpudding,FOOD
Kebabgryta med vegobitar serveras med ris och grönsaker,FOOD
Vi reserverar oss för eventuella ändringar!,MESSAGE
Falafelbiff med kall currysås och ris,FOOD
Pasta serveras med färssås,FOOD
Kyckling i currysås serveras med ris,FOOD
Linssoppa med rotfrukter,FOOD
"Grillkorv, potatismos, ketchup, senap, salladsbuffé.",FOOD
Plättar med sylt,FOOD
Pölsa med kokt potatis och rödbetor,FOOD
"Dillkött, potatis",FOOD
Kokt sej med ägg och persiljesås LT,FOOD
Kökets vegetariska alternativ,GENERIC
Korv Stroganoff serveras med kokt ris och grönsak,FOOD
Spaghetti med saucé Bolognese (nötfärs),FOOD
Stekt fläsktimbal med löksås TIMBALKOST,FOOD
Kökets val av varmrätt med tillbehör,ANY
Bärkompott med mjölk,FOOD
Pasta med ost & linssås,FOOD
Fiskgratäng med hummersås MAGTARMKOST,FOOD
Kökets val - pastarätt,ANY
"Smörgås, mjölk och grönsak",SIDE
Blodpudding serveras med rotfruks/purjolöksfräs och lingon,FOOD
"Potatis-och purjolökssoppa, bröd, bordsmargarin och köttpålägg",FOOD
Hållets val,ANY
Kycklingfilé med tomattäcke serveras med ris,FOOD
"Fiskfärsbiff med kall dillsås, potatis och grönsaker",FOOD
Kycklinggryta med rotfrukter serveras med bulgur,FOOD
Grönsakspytt serveras med ägghalva,FOOD
Falafel serveras med matdurum och morot tsatziki,FOOD
Päronkaka med kardemummagrädde TIMBALKOST,FOOD
Lasagne med tomat och keso,FOOD
"Tikka Masla med bönor, bulgur, rostad blomkål",FOOD
"Fiskbullar, dillsås, (potatis), grönsaker",FOOD
"Fiskgratäng med ostcreme och grillgurka, (potatis), grönsaker",FOOD
Stekt fisk/ugnsstekt fisk med kokt potatis och kall sås,FOOD
Broccolibiff serveras med rostat potatis /ris och vitlöksås,FOOD
"Köttfärslimpa, sås, rårörda lingon serveras med kokt potatis",FOOD
22 Kokosrullad chokladboll (Vegan),FOOD
Curry och mangogryta med ris,FOOD
Chili con carne med ris,FOOD
VILT DAG,FOOD
"Rotfruktsbiffar, dill och kaprismajonäs, kokt potatis och varma grönsaker",FOOD
