meal,label
"Pannkakor / raggmunk, pannkaksylt, lingonsylt",FOOD
Vegetariskt påskbord,FOOD
Raggmunk serveras med tärnat fläsk och rårörda lingon,FOOD
"Bondomelett (grönsaker, råkost, lingonsylt)",FOOD
Panerad fisk serveras med varm citronsås och kokt potatis,FOOD
Kökets val ÄO,ANY
"Vegetarisk Lasagne med rotfrukter , linser och keso",FOOD
blåbärssoppa med syrlig vaniljgrädde,FOOD
Köttfärslåda med potatis och curry och grönsaker,FOOD
Pölsa med kokt potatis och rödbetor,FOOD
Asiatiska nudlar med kyckling.,FOOD
"Skink- och broccolisås, pasta, varm grönsak",FOOD
Fiskpanett med örtmajonnäs och kokt potatis,FOOD
Ärtsoppa med senap och hembakat bröd,FOOD
Pastasås med rökt höns pasta,FOOD
Ugnstekt falukorv serveras med potatismos,FOOD
"Köttbullar i gräddsås, kokt potatis, inlagd gurka och lingonsylt",FOOD
"Morotsbiffar, kall sås, potatis",FOOD
Böngryta med vita bönor och bulgur.,FOOD
"Grönsaksburgare med bröd, klyftpotatis och dressing",FOOD
Lax med potatis och sås,FOOD
"Kebabgryta, bulgur",FOOD
Kokt sej med ägg och persiljesås LT,FOOD
"Broccolibiff, ört majonäs",FOOD
Mozzarellabiffar med tomat och basilikasås samt rostade primörer,FOOD
Vegoschnitzel med vitlökscreme och potatismos,FOOD
"Panerad fisk, kall sås (potatis, grönsaker) Grekisk grönsaksbiff, kall sås (potatis, grönsaker)",FOOD
Kycklingwok med nudlar och kall dressing med sweetchili,FOOD
Rotfruktsgratäng med fetaost och spenat,FOOD
Kockens val,ANY
"Pytt i panna på nötkött, serveras med inlagda rödbetor",FOOD
Fisk i röd sås serveras med potatismos.,FOOD
"Sill, potatis, gräddfil och gräslök",FOOD
"LikeMeat med tomat och rosmarin, serveras med potatis",FOOD
"Middag: Korv- och rotsaksgryta, potatis, grönsaker",FOOD
"Sallad, bröd och dryck",SIDE
Stekt falukorv med stuvade makaroner,FOOD
Kökets gröna val,ANY
Kalvsylta med rödbetssallad E-KOST,FOOD
"Rotfruktsmedaljong, kall sås med gurkmix och kokt potatis",FOOD
"Krämig tomat och linssås, pasta",FOOD
Chicken Tikka Masala med ris,FOOD
"Potatisbullar med bacon och purjolökfräs, lingonsylt",FOOD
Kockens gröna tips,ANY
Pasta Carbonara,FOOD
Tortilla med vegofärsröra och gräddfilssås,FOOD
Hönsschnitzel serveras med rostad potatis samt kall currydressing,FOOD
Grönsaker,SIDE
Stekt fiskfilé serveras med kokt potatis och kall sås,FOOD
Rotfruktscurry,FOOD
Örtbakad Tofu med samma goa,FOOD
Rispytt med rökt höns och kall currysås,FOOD
Hemlagad fläskpannkaka serveras med lingonsylt,FOOD
"Indisk kycklinggryta, ris/havreris",FOOD
Stekt korv serveras med hemlagat potatismos och grönsaker,FOOD
Högsbosoppa,FOOD
Tropisk fruktpuré med gräddmjölk,FOOD
"Ugnsgratinerad vegokorv serveras med potatismos, senap och ketchup",FOOD
Rabarberkräm med kardemummagrädde,FOOD
Pasta med svamp & spetskål,FOOD
Kyckling soppa,FOOD
"Panerad fisk, potatis, citronsås",FOOD
Kökets sallad- och rotfruktsbuffé,SIDE
Kökets val av alternativrätt,ANY
Vegetarisk kebabskavsås med ris,FOOD
Falaffel med saffranssås,FOOD
"Västerhavsfisk, kall sås, potatis",FOOD
"Svampbiffar med gråärta, lingonsky och kokt potatis",FOOD
"Köttfärslimpa, sås, rårörda lingon serveras med kokt potatis",FOOD
"Mellanmål: Smörgås, pålägg, mjölk och frukt",FOOD
Kökets val / Öppet kök,ANY
Gulaschsoppa,FOOD
Kökets val,ANY
Grön ärtsoppa med mjuk smörgås och pålägg,FOOD
Sojabullar med makaroner.,FOOD
"Fiskbullar, dillsås, (potatis), grönsaker",FOOD
Makaroni sin carne,FOOD
Fläsktimbal med senapssås TIMBALKOST,FOOD
Slät ost- och skinksås med broccolitimbal och potatismos Slät äppelkräm,FOOD
KOCKENS ERBJUDANDE. Med reservation för ev. ändringar i menyn.,ANY
Kanelbulle MAGTARMKOST,FOOD
"Smörgås, mjölk och grönsak",FOOD
Vegetarisk biff med tzatziki,FOOD
Kökets val,ANY
"Blomkålssoppa, Apelsinsoppa, Nyponsoppa",FOOD
Grönsaks biff serveras med kokt potatis och kallsås,FOOD
"Zucchinigratäng med keso och örter, potatis och morötter",FOOD
"F: Köttbullssoppa(f)*, en klick creme fraiche",FOOD
"Ugnsstekt sejfilé, remouladsås och kokt potatis",FOOD
"Gröt: Risgrynsgröt, jordgubbssås",FOOD
Frukost,GENERIC
Tofu- och grönsaker i kokoscurry serveras med basmatiris,FOOD
"Nasi Goreng med kyckling, Chicagodressing",FOOD
"Potatis-och purjolökssoppa, bröd, bordsmargarin och köttpålägg",FOOD
Blodpudding med stekt fläsk MAGTARMKOST,FOOD
Falafel med kebabsås och klyftpotatis,FOOD
Kycklingklubba med sås och potatis,FOOD
Vegetarisk kebabwok med nudlar och vitlöksdressing,FOOD
Fiskbullar/laxbullar i dillsås serveras med kokt potatis,FOOD
Vegetarisk pytt med senapskräm och inlagd smörgåsgurka,FOOD
"Hemlagade gröna burgare serveras med bröd, dressing och klyftpotatis",FOOD
"Quornburgare Southern style serveras med bröd, dressing och ugnstekt potatis",FOOD
Potatis- och purjolökssoppa,FOOD
Lunch 1: Japans dag:Sushi / sukiyaki med ris,FOOD
Krämig ost- och broccolisås med linser,FOOD
"Pastasallad m. kyckling, ranchdressing",FOOD
"Kikärtsgryta med röd curry & koksgrädde, basmatiris.",FOOD
Utfärdspaket Baguett med kycklingröra och grönsaker,FOOD
"Ostsås med rotfruktstrimlor och parmesan, serveras med ekologisk pasta penne",FOOD
Morotsstroganoff med stekt potatis,FOOD
"Päron med choklad, grädde",FOOD
"Frukost: Havregrynsgröt, lättsockrad äpplemos, hembakat bröd, pålägg och grönsak",FOOD
"Kyckling nuggets, gräddsås/sötsur sås, ris",FOOD
Fläskfritt alternativ,GENERIC
Kycklinggryta med senap och dragon,FOOD
Korv & böngryta serveras med bulgur,FOOD
"Pannkakor med keso och sylt, rårivna morötter",FOOD
"Raggmunk, bacon och lingonsylt",FOOD
"E: Kycklinggryta med tomat, persilja och citron*, ris, grönsaker",FOOD
Grönsaksbiff serveras med kall citron- & dillsås och kokt potatis,FOOD
"Köttfärssoppa med vitkål (Hedvigsoppa), mjukt bröd, ost",FOOD
pasta med linsbolognese serveras med riven ost.,FOOD
Ost och broccolisås med pasta,FOOD
Bergakungens sås serveras med pasta,FOOD
• Ugnsbakad falukorv serverat med potatismos,FOOD
Spagetti med krämig tomat och morotssås,FOOD
Street burger med klyftpotatis och tillbehör,FOOD
Indisk köttfärsgryta med ris.,FOOD
"Frukost: Kokt ägg, kaviar, smörgås, pålägg och mjölk",FOOD
Spansk bondomelett med soltorkade tomater och linser och grönsaker VEGETARISK,FOOD
"Potatisbullar med Facon, lingonsylt och grönsaksbuffé",FOOD
"Egengjord broccolibiff, potatis och dilldipp",FOOD
Lasagnetter med keso och morötter,FOOD
"Southern burgare med remouladsås, bröd och klyftpotatis",FOOD
Fiskgratäng med hummersås och dill serveras med basmatiris,FOOD
Köttbullar,FOOD
"Högsbosoppa, mjuk bröd, pålägg, frukt",FOOD
"Blodpudding med stekt fläsk, lingonsylt och grönsaker MAGTARMKOST",FOOD
Fisktaco med ris,FOOD
"Stekt kycklingfilé, potatis och kokta grönsaker (Mårten) dessert",FOOD
Stekt korv med stuvade makaroner,FOOD
Kökets val av alternativrätt,ANY
Solskenssoppa,FOOD
Fiskbullar i dillsås serveras med kokt potatis,FOOD
Vegetarisk stekt korv / makaroner,FOOD
Tacorulle med havreris och sweetchilidressing,FOOD
"Vegetarisk kost: Qourngryta med rotfrukter, matvete och grönsaker",FOOD
"Vegobullar, sås, potatis, grönsaker, lingonsylt",FOOD
Kökets vegetariska alternativ,GENERIC
"Köttbullar med pasta, ketchup",FOOD
Veg: Vegofärsbiffar med sås och potatis,FOOD
Potatislåda med matjesill och gräslök,FOOD
"Köttbullemacka, mjölk, hårt bröd, grönsaker och frukt",FOOD
"Tikka Masla med bönor, bulgur, rostad blomkål",FOOD
Broccolimedaljong med ratatouille,FOOD
Kebabgryta med ris o kall vitlökssås,FOOD
Bönbiff serveras med gräddsås samt lingon,FOOD
"Middag: Risgrynsgröt, kokt skinka, frukt",FOOD
Gyllengul grönsaksbiffar,FOOD
"Köttbullar serveras med gräddsås , lingonsylt och kokt potatis",FOOD
"Smörgås, mjölk och grönsak",FOOD
"Järptimbal med svartvinbärssås och morötter, potatismos Citronfromage",FOOD
"Green Nuggets, curryremoulad, potatis, grönsaker",FOOD
Morots lasange,FOOD
"Grönsakssoppa med potatis serveras med limpa, färskost och frukt",FOOD
Köttbullar och makroner,FOOD
"Buffé med tacokryddad köttfärsröra, sallad, ris, nachos och gräddfil",FOOD
Vegetarisk lasagne,FOOD
Gratinerade enchilladas,FOOD
Pasta-& broccoligratäng,FOOD
"Fiskgryta, (potatis), grönsaker",FOOD
"Mjölk, smörgås, ost och köttpålägg, frukt/grönsaksbit",FOOD
Portergryta och kokt potatis,FOOD
Chili con carne och ris,FOOD
"Örtkryddad ostsås, pasta",FOOD
"Alt 2: Biff à la Lindström, Gräddsås, Potatis, Ärtor",FOOD
"Stekt falukorv, stuvade makaroner/makaroner",FOOD
Kyckling och risgratäng,FOOD
Laxpudding med dillsås och morot,FOOD
Pasta serveras med färssås,FOOD
"Spenatsoppa, Citrussoppa, Nyponsoppa",FOOD
Grönsaksgratäng serveras med potatismos och grönsaksbuffé,FOOD
"Utfärdspaket veg Grillkorv med bröd, dryck och frukt",FOOD
Stekt salt sill med löksås,FOOD
Grönsakspytt serveras med ägghalva,FOOD
Kycklinggryta med ris.,FOOD
Vad köket erbjuder,ANY
Tomats soppa med bröd och pålägg,FOOD
Chili con carne med ris,FOOD
Ost- och broccolisoppa med nybakt bröd,FOOD
Köttfärssås med pasta,FOOD
Vegetarisk schnitzel serveras med kökets kalla sås och ris,FOOD
veg,GENERIC
"Kyckling Korma serveras med ris, naan och yoghurt",FOOD
Kökets val.,ANY
"Köttbullar, gräddsås , potatis och kokta grönsaker",FOOD
"Ärt och rödbetsbiff, potatis & sås",FOOD
Cowboyssoppa samt mjuk smörgås.,FOOD
Minestronesoppa med rökt skinka. Äppelpaj med vaniljsås,FOOD
Smaklig måltid!,MESSAGE
"Köttfärslimpa, skysås, potatis",FOOD
"potatisbullar, lingonsylt och keso",FOOD
"Sallad, bröd, smörgåsmargarin och mjölk",SIDE
"Smörgås, mjölk och grönsak",SIDE
Spaghetti med sojafärssås,FOOD
"Meny 1: Paprikasås med kyckling, serveras med pasta",FOOD
"SNR Kars: Kotlettrad, lök- o svampsås och kokt potatis",FOOD
Mexikansk potatisfrestelse med sojafärs,FOOD
Internationell vecka,FOOD
Paprikagulasch och ris/bulgur,FOOD
Pastagratäng med ost och broccoli,FOOD
"Kebabpytt, vitlökssås",FOOD
"Korma kyckling, pasta/gryn",FOOD
Pannkaka med kesogrädde,FOOD
Gratinerad vegokorv med potatismos,FOOD
Vegetarisk linscurry,FOOD
Köttbullar & makaroner,FOOD
"Skink- och broccoligratäng, kokt potatis, sallad med ananas",FOOD
Matlåda: Välj från kyldisk,MESSAGE
"Cevapcici, vitlökssås, klyftpotatis",FOOD
"Mannagrynspudding, saftsoppa",FOOD
Korv Stroganoff serveras med kokt ris och grönsak,FOOD
Falafelbiff med kall currysås och ris,FOOD
Grönsakspytt med kall sås och rödbetor,FOOD
"Grönsaksburgare med kokt potatis, rödvinssås och grönsaker VEGETARISK",FOOD
"Dagens lunch: Ost och skinksallad, dressing, mjukt bröd",FOOD
Vegetarisk ugnsgratinerad ajvarquorn,FOOD
"Raggmunk med stekt fläsk, lingon och grönak",FOOD
Kökets val,ANY
Fruktcocktail,FOOD
"Grekisk färsbiff, tzatziki, ugnsrostad potatis",FOOD
Kycklingpytt och currydipp,FOOD
